GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
software-testing-project,software_testing_project,NextDate,0,146,0,30,0,39,0,23,0,7
software-testing-project,software_testing_project,Triangle,0,97,0,32,0,20,0,22,0,6
